Algorithm,Strategy,Best Val NDCG@20,Test NDCG@20,Test Precision@20,Final Train Time (s),Best Params
ALS_factors=100,bm25,0.1718996025203015,0.19316048896907428,0.25223952659699694,11.137091159820557,"{'bm25_k1': 3.6915452916512734, 'bm25_b': 0.8011480654017011}"
ALS_factors=100,confidence,0.1699253146311345,0.18974395823455428,0.2507500240839959,11.147263765335083,{'conf_alpha': 1.449770352422187}
ALS_factors=100,pmi,0.16560076612843566,0.18558111095864516,0.24078580520636136,11.131036043167114,{}
ALS_factors=100,power_lift,0.16445197183219615,0.1830181494702249,0.23884426461727537,11.150031805038452,{'p': 0.3200297249072065}
ALS_factors=100,tfidf,0.16187185624065334,0.179705079486153,0.24295022963876287,11.146543741226196,{}
ALS_factors=100,power,0.1592873584855438,0.17843293699925203,0.23511908324626044,11.150031566619873,{'power_p': 0.5623046594177248}
ALS_factors=100,sigmoid_propensity,0.15311061836723447,0.17439339918597146,0.22710438545338052,11.128924369812012,"{'p': 0.2279499441848788, 'beta': 0.9773243639099962}"
ALS_factors=100,robust_user_centric,0.15284042789107613,0.17314623316795563,0.225227828900453,10.704933166503906,{'scale_factor': 9.971762914520497}
ALS_factors=100,log,0.14743598210264203,0.16748064116552241,0.21790458405371557,11.140959739685059,{}
ALS_factors=100,no_weighting,0.131321756222197,0.1428810699095095,0.20410174675949122,11.130597591400146,{}
ALS_factors=10,bm25,0.11461017179811724,0.12462437265747542,0.168902630542383,4.174777269363403,"{'bm25_k1': 9.387383629695933, 'bm25_b': 0.0038424319961242737}"
ALS_factors=10,tfidf,0.1146309868035351,0.12447673960404537,0.1697422926937992,4.194252967834473,{}
ALS_factors=10,confidence,0.11447390417293594,0.12432070542053555,0.1702667252663063,4.209463834762573,{'conf_alpha': 3.4723751724861236}
ALS_factors=10,power,0.11240020762506509,0.12225558794341676,0.1659361662952886,4.175077199935913,{'power_p': 0.6904827002362887}
ALS_factors=10,robust_user_centric,0.10339599671117254,0.11271475632906627,0.1513597909566163,4.113441467285156,{'scale_factor': 9.983769963713478}
ALS_factors=10,pmi,0.10324318466406207,0.11191089105710725,0.15169554181010184,4.183029413223267,{}
ALS_factors=10,log,0.10210944790580578,0.11135236183392318,0.14987256858523482,4.155736923217773,{}
ALS_factors=10,sigmoid_propensity,0.10112618857305193,0.10987067436731716,0.14884023446696273,4.186922550201416,"{'p': 1.3407464432528267, 'beta': 0.999385700616504}"
ALS_factors=10,power_lift,0.09955811776923734,0.10783948620039763,0.14706856442853666,4.197245836257935,{'p': 0.25456267182413783}
ALS_factors=10,no_weighting,0.09808161938868308,0.10505350605298203,0.1499478132586815,4.09786319732666,{}
ALS_factors=100,robust_user_centric_weight_v2,0.08650354407719724,0.09996287667806475,0.1356080026130423,10.705075025558472,"{'lower_q': 43.2178033186353, 'upper_q': 55.223573589263935}"
ALS_factors=10,robust_user_centric_weight_v2,0.0762943393038292,0.08851360519531513,0.12168146763595487,4.124685049057007,"{'lower_q': 6.629831898087994, 'upper_q': 55.136222101283046}"
ALS_factors=100,normalized,0.06250734770997242,0.06904476972649974,0.09767385652322866,11.141203880310059,{}
ALS_factors=10,normalized,0.05012925938321616,0.055152307471776234,0.08032710911674724,4.197004795074463,{}
