Algorithm      , Strategy                     , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
ALS_factors=100, power_lift                   ,                            20, 0.2661334484420055, 0.3258267249954736, 0.3375351618454907, 0.3449699225630629, 0.36934852218774  ,  10.776484966278076 , {'p': 0.34283417487987256}
ALS_factors=100, sigmoid_propensity           ,                            20, 0.2603329083009429, 0.3236854960280762, 0.3338599177703688, 0.3430544938903475, 0.3662106721357819,  10.776389122009276 , "{'p': 2.1061539761683687, 'beta': 0.9996379410568317}"
ALS_factors=100, pmi                          ,                             1, 0.2596701233672352, 0.313497358973849 , 0.3263326767267644, 0.3266542590315398, 0.3482042523467312,  10.849278926849363 , {}
ALS_factors=100, no_weighting                 ,                             1, 0.2514541649213216, 0.3106031773550142, 0.3239050366874726, 0.3304751459558864, 0.3573210105960192,  10.713595628738403 , {}
ALS_factors=100, robust_user_centric          ,                            20, 0.2537803874412686, 0.3074938855605589, 0.3225329133659653, 0.3267993840495419, 0.3551628087634271,  10.780880212783812 , {'scale_factor': 9.986142834550652}
ALS_factors=100, bm25                         ,                            20, 0.2569136385288582, 0.3065404237249352, 0.3221136203099857, 0.3276712419821197, 0.3573789594115533,  10.878612756729126 , "{'bm25_k1': 4.0389018496678375, 'bm25_b': 0.7418256661756722}"
ALS_factors=100, power                        ,                            20, 0.2536572490960544, 0.3057913443645405, 0.3214422705621756, 0.3252894191675806, 0.3544846510032584,  10.92896294593811  , {'power_p': 1.291457459532728}
ALS_factors=100, tfidf                        ,                             1, 0.2564787604854788, 0.303987647228043 , 0.3191194442053369, 0.3230759856869066, 0.3507876731906069,  10.85950255393982  , {}
ALS_factors=100, log                          ,                             1, 0.2317238227089785, 0.2971309071556325, 0.3067202793628006, 0.3180963142676726, 0.3426247211213252,  10.871517658233644 , {}
ALS_factors=100, confidence                   ,                            20, 0.2411720086991024, 0.2724462070520288, 0.2940242185635752, 0.2892873364573986, 0.3218845268048511,  10.880187749862673 , {'conf_alpha': 2.5438808701236457}
ALS_factors=100, robust_user_centric_weight_v2,                            20, 0.196166810691166 , 0.2561620258269997, 0.2614189612983216, 0.2768974265235357, 0.2977143890824431,  10.78233790397644  , "{'lower_q': 40.79956136878442, 'upper_q': 62.30738103271719}"
ALS_factors=10 , power_lift                   ,                            20, 0.2124157284081534, 0.2542219832466292, 0.2611107597246154, 0.2737966255663753, 0.2943110708079709,   4.190032005310059 , {'p': 0.15192901017346558}
ALS_factors=10 , power                        ,                            20, 0.2117335770216656, 0.2537514885898179, 0.260301947638059 , 0.2737955177418104, 0.2941536692955068,   4.306236982345581 , {'power_p': 0.16741867171308375}
ALS_factors=10 , log                          ,                             1, 0.211732112322165 , 0.2535133221596011, 0.2601885266875461, 0.2736238049342506, 0.2939226571254725,   4.282450914382935 , {}
ALS_factors=10 , sigmoid_propensity           ,                            20, 0.2108265578422899, 0.2528117915512557, 0.2591722758370191, 0.2732604384769628, 0.293364312456881 ,   4.19538426399231  , "{'p': 1.679626087296186, 'beta': 0.23159432280619052}"
ALS_factors=10 , robust_user_centric_weight_v2,                            20, 0.2100013473932151, 0.2527500122434169, 0.2586363581844612, 0.2728804546512014, 0.292210034698811 ,   4.172176837921143 , "{'lower_q': 10.656734797354833, 'upper_q': 91.6117815074993}"
ALS_factors=10 , robust_user_centric          ,                            20, 0.2103953143100387, 0.2520026314439214, 0.2583688704980162, 0.2725325977378222, 0.2921426887780552,   4.172496557235718 , {'scale_factor': 2.691559032559339}
ALS_factors=10 , pmi                          ,                             1, 0.2085637322464122, 0.2451825601541713, 0.2541290918531974, 0.2604384769627881, 0.279934282910816 ,   4.280882358551025 , {}
ALS_factors=10 , no_weighting                 ,                             1, 0.2077751023403579, 0.2448920153693913, 0.2537944026021528, 0.2660584709805355, 0.2888865918187235,   4.169275283813477 , {}
ALS_factors=10 , bm25                         ,                            20, 0.2070612158201266, 0.2427537871267312, 0.2533153647616116, 0.2616050162296299, 0.2857925949244668,   4.31905460357666  , "{'bm25_k1': 3.209536795934696, 'bm25_b': 0.8875093556997711}"
ALS_factors=10 , tfidf                        ,                             1, 0.1996545210623257, 0.2333570911739451, 0.2438339746411517, 0.2552062215427564, 0.2802600492251695,   4.313085556030273 , {}
ALS_factors=10 , confidence                   ,                            20, 0.1999618232853013, 0.2324919077880487, 0.2434462667302951, 0.253675207994062 , 0.2788426525208909,   4.290487051010132 , {'conf_alpha': 1.3064571209932714}
ALS_factors=10 , normalized                   ,                             1, 0.1836696894568044, 0.2274909022911839, 0.2330603953232281, 0.2356608727441922, 0.2491243072571494,   4.3120410442352295, {}
ALS_factors=100, normalized                   ,                             1, 0.1811017217581636, 0.2091948477314369, 0.2287460377841322, 0.2366833948175966, 0.2766155385833394,  10.869391441345217 , {}
