Algorithm      , Strategy           , Number of Optimization Trials, Best Val NDCG@20  , Test NDCG@10      , Test NDCG@20      , Test Precision@10 , Test Precision@20 , Final Train Time (s), Best Params
ALS_factors=100, pmi                ,                             1, 0.0970043499688685, 0.0949310269548078, 0.107496949564052 , 0.1066850340238234, 0.1326728807082547,   29.45462989807129 , {}
ALS_factors=100, power_lift         ,                            20, 0.0969372223581383, 0.0942201077151253, 0.106835125407804 , 0.105954124546873 , 0.1320365841914395,   29.401728868484497, {'p': 0.281002380481669}
ALS_factors=100, log_idf            ,                            10, 0.0972973790672163, 0.0910354396148209, 0.1061304411349649, 0.0996944233210785, 0.1285351944090335,   29.454495191574097, {'conf_alpha': 3.665509628784722}
ALS_factors=100, tfidf              ,                             1, 0.096254680818912 , 0.092375988788737 , 0.1059035921673244, 0.1029614944871197, 0.1300575569116005,   29.615792274475098, {}
ALS_factors=100, sigmoid_propensity ,                            10, 0.0919178534608084, 0.0913534508219728, 0.102873545788027 , 0.1029039585965621, 0.1270809908284475,   29.487653017044067, "{'p': 1.2708492740699449, 'beta': 0.9510209971452145}"
ALS_factors=100, robust_user_centric,                            10, 0.0908067787927814, 0.0894355723357203, 0.1013509395521901, 0.1004184590411923, 0.1251518734688977,   29.46565318107605 , {'scale_factor': 9.854023669092191}
ALS_factors=100, bm25               ,                            10, 0.089698642001108 , 0.0843379589460455, 0.0976389716149825, 0.0930808509099963, 0.1185945454393546,   29.47086238861084 , "{'bm25_k1': 315.9103178875338, 'bm25_b': 0.9834918183879116}"
ALS_factors=100, no_weighting       ,                             1, 0.0791633308334954, 0.0779478208988454, 0.0882493251578954, 0.0864833172648659, 0.1074050491249933,   29.403259754180908, {}
ALS_factors=100, power              ,                            10, 0.0789093948626534, 0.0769026710519408, 0.0874076975996133, 0.084818849776081 , 0.1058413515342573,   29.395648956298828, {'power_p': 1.1242434273794637}
ALS_factors=100, log                ,                             1, 0.0608833993782394, 0.0634517978175402, 0.0711444625436997, 0.0742459934271609, 0.0914360733073391,   29.45784878730774 , {}
ALS_factors=100, normalized         ,                             1, 0.0494895253933217, 0.0477606737889094, 0.0540833039488656, 0.0539276773855691, 0.0671147712696512,   29.498233318328857, {}
ALS_factors=10 , no_weighting       ,                             1, 0.0440584135327086, 0.0412698636514686, 0.0476729307617637, 0.0445388892976369, 0.0566042257652158,   11.273902416229248, {}
ALS_factors=10 , bm25               ,                            10, 0.0439011328029669, 0.0399826417877491, 0.047130434345609 , 0.0432522238512743, 0.0565714655091669,   10.336503505706789, "{'bm25_k1': 744.2431968068297, 'bm25_b': 0.8224234184644987}"
